SampleID,SampleType,Condition,BioReplicate
SRR10676821,heart,NF,1
SRR10676822,heart,NF,2
SRR10676823,heart,NF,3
SRR10676824,heart,NF,4
SRR10676825,heart,NF,5
SRR10676826,heart,NF,6
SRR10676827,heart,NF,7
SRR10676828,heart,NF,8
SRR10676829,heart,NF,9
SRR10676830,heart,NF,10
SRR10676831,heart,NF,11
SRR10676832,heart,NF,12
SRR10676833,heart,NF,13
SRR10676834,heart,NF,14
SRR10676835,heart,NF,15
SRR10676836,heart,NF,16
SRR10676837,heart,NF,17
SRR10676838,heart,NF,18
SRR10676839,heart,NF,19